公司代码,公司简称
000998,隆平高科
000999,华润三九
001696,宗申动力
002001,新和成
002003,伟星股份
002005,德豪润达
002006,精功科技
002007,华兰生物
002008,大族激光
002009,天奇股份
002010,传化股份
002011,盾安环境
002012,凯恩股份
002014,永新股份
002016,世荣兆业
002017,东信和平
002020,京新药业
002023,海特高新
002025,航天电器
002026,山东威达
002027,七喜控股
002028,思源电气
002029,七匹狼
002030,达安基因
002032,苏泊尔
002034,美欣达
002038,双鹭药业
002039,黔源电力
002040,南京港
002041,登海种业
002042,华孚色纺
002043,兔宝宝
002046,轴研科技
002050,三花股份
002051,中工国际
002052,同洲电子
002053,云南盐化
002054,德美化工
002055,得润电子
002056,横店东磁
002057,中钢天源
002058,威尔泰
002060,粤水电
002061,江山化工
002062,宏润建设
002063,远光软件
002064,华峰氨纶
002065,东华软件
002066,瑞泰科技
002067,景兴纸业
002069,獐子岛
002070,众和股份
002073,软控股份
002076,雪莱特
002077,大港股份
002078,太阳纸业
002079,苏州固锝
002081,金螳螂
002082,栋梁新材
002083,孚日股份
002084,海鸥卫浴
002085,万丰奥威
002086,东方海洋
002087,新野纺织
002089,新海宜
002090,金智科技
002091,江苏国泰
002092,中泰化学
002093,国脉科技
002094,青岛金王
002095,生意宝
002096,南岭民爆
002097,山河智能
002098,浔兴股份
002099,海翔药业
002101,广东鸿图
002103,广博股份
002104,恒宝股份
002105,信隆实业
002106,莱宝高科
002107,沃华医药
002108,沧州明珠
002110,三钢闽光
002111,威海广泰
002112,三变科技
002114,罗平锌电
002115,三维通信
002116,中国海诚
002117,东港股份
002118,紫鑫药业
002119,康强电子
002120,新海股份
002121,科陆电子
002122,天马股份
002123,荣信股份
002124,天邦股份
002125,湘潭电化
002126,银轮股份
002130,沃尔核材
002131,利欧股份
002132,恒星科技
002133,广宇集团
002134,天津普林
002135,东南网架
002136,安纳达
002138,顺络电子
002139,拓邦股份
002140,东华科技
002141,蓉胜超微
002146,荣盛发展
002148,北纬通信
002149,西部材料
002152,广电运通
002153,石基信息
002154,报喜鸟
002156,通富微电
002157,正邦科技
002159,三特索道
002160,常铝股份
002161,远望谷
002163,中航三鑫
002165,红宝丽
002166,莱茵生物
002168,深圳惠程
002169,智光电气
002170,芭田股份
002172,澳洋科技
002176,江特电机
002177,御银股份
002178,延华智能
002179,中航光电
002181,粤传媒
002182,云海金属
002183,怡亚通
002184,海得控制
002185,华天科技
002186,全聚德
002187,广百股份
002189,利达光电
002190,成飞集成
002191,劲嘉股份
002193,山东如意
002196,方正电机
002197,证通电子
002198,嘉应制药
002199,东晶电子
002201,九鼎新材
002203,海亮股份
002205,国统股份
002206,海利得
002207,准油股份
002209,达意隆
002210,飞马国际
002211,宏达新材
002212,南洋股份
002214,大立科技
002215,诺普信
002216,三全食品
002218,拓日新能
002220,天宝股份
002222,福晶科技
002223,鱼跃医疗
002224,三力士
002225,濮耐股份
002227,奥特迅
002228,合兴包装
002229,鸿博股份
002230,科大讯飞
002231,奥维通信
002232,启明信息
002233,塔牌集团
002234,民和股份
002235,安妮股份
002236,大华股份
002237,恒邦股份
002238,天威视讯
002240,威华股份
002241,歌尔声学
002242,九阳股份
002243,通产丽星
002244,滨江集团
002245,澳洋顺昌
002247,帝龙新材
002248,华东数控
002249,大洋电机
002250,联化科技
002251,步步高
002252,上海莱士
002253,川大智胜
002255,海陆重工
002256,彩虹精化
002258,利尔化学
002259,升达林业
002261,拓维信息
002262,恩华药业
002263,大东南
002264,新华都
002265,西仪股份
002268,卫士通
002269,美邦服饰
002270,法因数控
002271,东方雨虹
002272,川润股份
002273,水晶光电
002274,华昌化工
002275,桂林三金
002278,神开股份
002279,久其软件
002281,光迅科技
002282,博深工具
002284,亚太股份
002286,保龄宝
002288,超华科技
002289,宇顺电子
002290,禾盛新材
002292,奥飞动漫
002294,信立泰
002295,精艺股份
002297,博云新材
002299,圣农发展
002300,太阳电缆
002302,西部建设
002303,美盈森
002305,南国置业
002307,北新路桥
002308,威创股份
002309,中利科技
002310,东方园林
002313,日海通讯
002315,焦点科技
002316,键桥通讯
002317,众生药业
002318,久立特材
002319,乐通股份
002320,海峡股份
002322,理工监测
002324,普利特
002325,洪涛股份
002326,永太科技
002327,富安娜
002328,新朋股份
002330,得利斯
002331,皖通科技
002332,仙琚制药
002334,英威腾
002335,科华恒盛
002336,人人乐
002337,赛象科技
002338,奥普光电
002340,格林美
002341,新纶科技
002342,巨力索具
002344,海宁皮城
002345,潮宏基
002347,泰尔重工
002348,高乐股份
002349,精华制药
002350,北京科锐
002351,漫步者
002352,鼎泰新材
002353,杰瑞股份
002355,兴民钢圈
002356,浩宁达
002357,富临运业
002358,森源电气
002359,齐星铁塔
300001,特锐德
300002,神州泰岳
300003,乐普医疗
300004,南风股份
300005,探路者
300006,莱美药业
300007,汉威电子
300008,上海佳豪
300009,安科生物
300011,鼎汉技术
300012,华测检测
300014,亿纬锂能
300015,爱尔眼科
300016,北陆药业
300017,网宿科技
300018,中元华电
300020,银江股份
300021,大禹节水
300022,吉峰农机
300023,宝德股份
300025,华星创业
300026,红日药业
300027,华谊兄弟
300028,金亚科技
300029,天龙光电
300030,阳普医疗
300032,金龙机电
300033,同花顺
300034,钢研高纳
300035,中科电气
300036,超图软件
300037,新宙邦
300038,梅泰诺
300039,上海凯宝
300040,九洲电气
300044,赛为智能
300045,华力创通
300048,合康变频
300049,福瑞股份
300050,世纪鼎利
300051,三五互联
300052,中青宝
300053,欧比特
300054,鼎龙股份
300056,三维丝
300057,万顺股份
300058,蓝色光标
600004,白云机场
600005,武钢股份
600007,中国国贸
600009,上海机场
600012,皖通高速
600018,上港集团
600019,宝钢股份
600026,中海发展
600027,华电国际
600028,中国石化
600029,南方航空
600031,三一重工
600033,福建高速
600048,保利地产
600051,宁波联合
600052,浙江广厦
600058,五矿发展
600059,古越龙山
600060,海信电器
600063,皖维高新
600064,南京高科
600066,宇通客车
600067,冠城大通
600068,葛洲坝
600070,浙江富润
600073,上海梅林
600075,新疆天业
600078,澄星股份
600081,东风科技
600082,海泰发展
600085,同仁堂
600086,东方金钰
600088,中视传媒
600089,特变电工
600090,啤酒花
600093,禾嘉股份
600095,哈高科
600097,开创国际
600099,林海股份
600100,同方股份
600101,明星电力
600103,青山纸业
600105,永鼎股份
600106,重庆路桥
600107,美尔雅
600113,浙江东日
600114,东睦股份
600116,三峡水利
600117,西宁特钢
600118,中国卫星
600119,长江投资
600120,浙江东方
600121,郑州煤电
600122,宏图高科
600123,兰花科创
600125,铁龙物流
600126,杭钢股份
600127,金健米业
600128,弘业股份
600129,太极集团
600132,重庆啤酒
600135,乐凯胶片
600136,道博股份
600137,浪莎股份
600138,中青旅
600139,西部资源
600141,兴发集团
600143,金发科技
600148,长春一东
600151,航天机电
600153,建发股份
600158,中体产业
600159,大龙地产
600160,巨化股份
600161,天坛生物
600166,福田汽车
600168,武汉控股
600169,太原重工
600170,上海建工
600171,上海贝岭
600172,黄河旋风
600177,雅戈尔
600178,东安动力
600182,S 佳通
600188,兖州煤业
600189,吉林森工
600191,华资实业
600195,中牧股份
600196,复星医药
600197,伊力特
600199,金种子酒
600200,江苏吴中
600202,哈空调
600208,新湖中宝
600210,紫江企业
600216,浙江医药
600218,全柴动力
600219,南山铝业
600220,江苏阳光
600222,太龙药业
600226,升华拜克
600227,赤天化
600230,沧州大化
600231,凌钢股份
600232,金鹰股份
600233,大杨创世
600235,民丰特纸
600236,桂冠电力
600237,铜峰电子
600238,海南椰岛
600239,云南城投
600243,青海华鼎
600246,万通地产
600248,延长化建
600249,两面针
600250,南纺股份
600251,冠农股份
600252,中恒集团
600257,大湖股份
600260,凯乐科技
600266,北京城建
600267,海正药业
600268,国电南自
600269,赣粤高速
600270,外运发展
600272,开开实业
600279,重庆港九
600284,浦东建设
600285,羚锐制药
600287,江苏舜天
600288,大恒科技
600289,亿阳信通
600291,西水股份
600293,三峡新材
600298,安琪酵母
600303,曙光股份
600305,恒顺醋业
600308,华泰股份
600310,桂东电力
600312,平高电气
600315,上海家化
600316,洪都航空
600317,营口港
600320,振华重工
600321,国栋建设
600322,天房发展
600325,华发股份
600328,兰太实业
600329,中新药业
600330,天通股份
600331,宏达股份
600333,长春燃气
600336,澳柯玛
600343,航天动力
600345,长江通信
600350,山东高速
600352,浙江龙盛
600353,旭光股份
600356,恒丰纸业
600360,华微电子
600361,华联综超
600366,宁波韵升
600367,红星发展
600368,五洲交通
600370,三房巷
600371,万向德农
600376,首开股份
600377,宁沪高速
600378,天科股份
600379,宝光股份
600380,健康元
600387,海越股份
600388,龙净环保
600390,金瑞科技
600393,东华实业
600395,盘江股份
600396,金山股份
600399,抚顺特钢
600400,红豆股份
600405,动力源
600409,三友化工
600415,小商品城
600418,江淮汽车
600423,柳化股份
600426,华鲁恒升
600428,中远航运
600429,三元股份
600432,吉恩镍业
600433,冠豪高新
600438,通威股份
600439,瑞贝卡
600456,宝钛股份
600459,贵研铂业
600460,士兰微
600461,洪城水业
600467,好当家
600468,百利电气
600477,杭萧钢构
600478,科力远
600479,千金药业
600480,凌云股份
600482,风帆股份
600486,扬农化工
600487,亨通光电
600488,天药股份
600491,龙元建设
600495,晋西车轴
600496,精工钢构
600497,驰宏锌锗
600498,烽火通信
600500,中化国际
600503,华丽家族
600505,西昌电力
600507,方大特钢
600510,黑牡丹
600512,腾达建设
600516,方大炭素
600517,置信电气
600518,康美药业
600521,华海药业
600523,贵航股份
600526,菲达环保
600527,江南高纤
600528,中铁二局
600529,山东药玻
600531,豫光金铅
600533,栖霞建设
600535,天士力
600536,中国软件
600543,莫高股份
600545,新疆城建
600546,山煤国际
600549,厦门钨业
600552,方兴科技
600557,康缘药业
600558,大西洋
600560,金自天正
600561,江西长运
600563,法拉电子
600568,中珠控股
600569,安阳钢铁
600570,恒生电子
600571,信雅达
600572,康恩贝
600573,惠泉啤酒
600577,精达股份
600580,卧龙电气
600581,八一钢铁
600583,海油工程
600584,长电科技
600585,海螺水泥
600587,新华医疗
600592,龙溪股份
600593,大连圣亚
600594,益佰制药
600595,中孚实业
600596,新安股份
600597,光明乳业
600598,北大荒
600600,青岛啤酒
600601,方正科技
600605,汇通能源
600611,大众交通
600612,老凤祥
600615,丰华股份
600616,金枫酒业
600618,氯碱化工
600619,海立股份
600620,天宸股份
600622,嘉宝集团
600623,双钱股份
600624,复旦复华
600626,申达股份
600630,龙头股份
600635,大众公用
600636,三爱富
600638,新黄浦
600639,浦东金桥
600641,万业企业
600642,申能股份
600650,锦江投资
600651,飞乐音响
600653,申华控股
600655,豫园商城
600657,信达地产
600658,电子城
600660,福耀玻璃
600661,新南洋
600662,强生控股
600663,陆家嘴
600664,哈药股份
600665,天地源
600667,太极实业
600668,尖峰集团
600675,中华企业
600676,交运股份
600677,航天通信
600680,上海普天
600682,南京新百
600683,京投银泰
600684,珠江实业
600686,金龙汽车
600687,刚泰控股
600689,上海三毛
600690,青岛海尔
600692,亚通股份
600697,欧亚集团
600703,三安光电
600707,彩虹股份
600712,南宁百货
600713,南京医药
600717,天津港
600719,大连热电
600720,祁连山
600724,宁波富达
600725,云维股份
600726,华电能源
600729,重庆百货
600730,中国高科
600731,湖南海利
600733,S    前锋
600734,实达集团
600737,中粮屯河
600739,辽宁成大
600743,华远地产
600744,华银电力
600745,中茵股份
600746,江苏索普
600747,大连控股
600750,江中药业
600754,锦江股份
600755,厦门国贸
600756,浪潮软件
600758,红阳能源
600761,安徽合力
600764,中电广通
600765,中航重机
600768,宁波富邦
600770,综艺股份
600774,汉商集团
600776,东方通信
600777,新潮实业
600778,友好集团
600782,新钢股份
600784,鲁银投资
600785,新华百货
600787,中储股份
600789,鲁抗医药
600790,轻纺城
600791,京能置业
600794,保税科技
600795,国电电力
600796,钱江生化
600797,浙大网新
600798,宁波海运
600801,华新水泥
600802,福建水泥
600804,鹏博士
600805,悦达投资
600807,天业股份
600809,山西汾酒
600811,东方集团
600812,华北制药
600814,杭州解百
600815,厦工股份
600819,耀皮玻璃
600820,隧道股份
600821,津劝业
600823,世茂股份
600825,新华传媒
600826,兰生股份
600828,成商集团
600830,香溢融通
600831,广电网络
600832,东方明珠
600833,第一医药
600834,申通地铁
600835,上海机电
600836,界龙实业
600838,上海九百
600839,四川长虹
600841,上柴股份
600843,上工申贝
600845,宝信软件
600846,同济科技
600850,华东电脑
600853,龙建股份
600855,航天长峰
600858,银座股份
600859,王府井
600861,北京城乡
600862,南通科技
600863,内蒙华电
600864,哈投股份
600865,百大集团
600866,星湖科技
600867,通化东宝
600872,中炬高新
600874,创业环保
600875,东方电气
600877,中国嘉陵
600879,航天电子
600880,博瑞传播
600881,亚泰集团
600883,博闻科技
600888,新疆众和
600889,南京化纤
600895,张江高科
600896,中海海盛
600897,厦门空港
600900,长江电力
600961,株冶集团
600965,福成五丰
600966,博汇纸业
600967,北方创业
600970,中材国际
600971,恒源煤电
600975,新五丰
600982,宁波热电
600985,雷鸣科化
600986,科达股份
600987,航民股份
600990,四创电子
600995,文山电力
600997,开滦股份
601002,晋亿实业
601003,柳钢股份
601005,重庆钢铁
601006,大秦铁路
601007,金陵饭店
601107,四川成渝
601111,中国国航
601139,深圳燃气
601179,中国西电
601299,中国北车
601390,中国中铁
601588,北辰实业
601600,中国铝业
601607,上海医药
601618,中国中冶
601808,中海油服
601877,正泰电器
601888,中国国旅
601899,紫金矿业
601918,国投新集
601989,中国重工
601991,大唐发电
